Spot brightness,Day,Substrate,Predator,Predator number,Additional R.hartii,Starting food
18,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
16,750,3,NULL,0,0,51
20,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
18,750,3,NULL,0,0,51
18,750,3,NULL,0,0,51
20,750,3,NULL,0,0,51
20,750,3,NULL,0,0,51
20,750,3,NULL,0,0,51
17,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
20,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
18,750,3,NULL,0,0,51
18,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
18,750,3,NULL,0,0,51
18,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
18,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
20,750,3,NULL,0,0,51
20,750,3,NULL,0,0,51
18,750,3,NULL,0,0,51
20,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
18,750,3,NULL,0,0,51
18,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
20,750,3,NULL,0,0,51
20,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
18,750,3,NULL,0,0,51
17,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
18,750,3,NULL,0,0,51
20,750,3,NULL,0,0,51
20,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
20,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
20,750,3,NULL,0,0,51
20,750,3,NULL,0,0,51
18,750,3,NULL,0,0,51
19,750,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
18,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
18,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
17,1005,3,NULL,0,0,51
18,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
18,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
17,1005,3,NULL,0,0,51
18,1005,3,NULL,0,0,51
16,1005,3,NULL,0,0,51
17,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
18,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
17,1005,3,NULL,0,0,51
17,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
18,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
18,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
18,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
17,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
18,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
18,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
20,1005,3,NULL,0,0,51
19,1005,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
20,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
18,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
19,1254,3,NULL,0,0,51
